client_id,variation,edad,genero,años_cliente_vg,num_cuentas,saldo_total,num_visitas,tasa_finalizacion_cliente,duracion_media_min,errores_medios
647,Test,58,M,12,2,30525.8,1,1.0,6.28,0.0
934,Test,51,F,9,2,32522.88,1,0.0,2.37,0.0
1028,Control,36,M,12,3,103520.22,1,0.0,8.97,0.25
1195,Control,54,M,21,2,28457.96,1,1.0,4.08,0.0
1336,Test,42,M,48,4,130537.18,1,1.0,3.52,0.0
1346,Test,46,F,14,2,822512.91,1,0.0,8.25,0.2222
1368,Control,45,F,5,3,61956.25,1,0.0,0.0,0.0
1516,Test,58,F,12,2,25408.39,2,0.5,9.99,0.15
1643,Test,55,M,19,2,81731.39,3,0.3333,4.56,0.1111
1755,Test,46,M,9,2,179775.21999999997,2,0.5,2.66,0.0
1836,Test,52,M,13,2,826232.62,3,0.3333,2.88,0.1111
1936,Test,26,M,5,2,52447.9,1,1.0,3.47,0.1111
2439,Control,56,M,11,2,504142.55,1,0.0,0.0,0.0
2581,Control,22,M,4,2,24976.79,1,0.0,0.0,0.0
2720,Test,25,M,9,3,81536.0,1,0.0,2.88,0.0
3232,Test,52,F,9,2,45617.96,1,1.0,5.33,0.0
3572,Test,54,M,15,2,84673.58,1,1.0,4.25,0.0
3647,Control,63,F,15,2,154244.15,2,0.0,6.7,0.125
4369,Test,70,F,14,2,191263.96,1,1.0,10.53,0.0
4484,Test,48,F,15,2,31731.51,1,1.0,33.48,0.0909
4603,Test,38,F,12,2,48726.26,1,1.0,2.65,0.0
4870,Test,26,M,21,3,89408.8,1,1.0,6.87,0.0
5845,Test,76,F,23,2,213906.62,2,0.0,10.56,0.0
6150,Test,67,F,27,2,199928.94,1,0.0,0.0,0.0
6642,Control,36,M,12,2,34987.23,1,1.0,7.38,0.0
6904,Test,64,M,12,2,348285.51,1,1.0,2.08,0.0
7020,Control,42,F,16,2,63648.09,2,0.0,3.1,0.1667
7561,Test,33,M,11,2,35070.619999999995,2,0.0,1.07,0.1667
7563,Test,30,M,8,3,186719.52,1,1.0,5.25,0.0
7567,Control,33,F,21,2,27165.99,1,1.0,2.35,0.0
7657,Test,42,M,18,2,55643.37,1,1.0,4.82,0.1667
7723,Test,54,M,30,4,571316.8,1,1.0,5.18,0.0
7934,Test,44,F,20,2,126480.9,1,0.0,0.8,0.5
8023,Test,50,F,21,2,34676.55,1,0.0,0.1,0.0
8055,Test,56,M,22,2,710672.04,1,1.0,4.95,0.0
8101,Control,70,M,11,2,257863.03,1,1.0,15.9,0.0
8124,Control,42,M,14,2,61022.23,1,0.0,0.0,0.0
9229,Control,42,M,8,2,78242.15,1,0.0,1.55,0.4286
9751,Test,36,M,5,2,30597.08,1,0.0,2.05,0.5
9767,Control,34,M,6,2,29523.54,2,0.5,4.31,0.0
9845,Control,25,F,5,2,31196.85,1,0.0,0.0,0.0
9916,Test,40,M,17,2,162968.55,1,0.0,0.25,0.0
10344,Control,82,M,17,2,94009.47,1,0.0,55.67,0.0
11054,Control,60,M,4,2,208185.54,1,1.0,10.15,0.0
11070,Control,54,M,14,3,255988.05,2,0.5,10.27,0.0
11122,Control,40,M,16,2,31193.51,1,1.0,3.52,0.0
11309,Test,46,F,10,3,647166.9600000001,1,1.0,3.3,0.0
12045,Control,37,F,12,2,140704.74,1,0.0,0.8,0.0
12785,Test,52,F,15,2,82425.54999999999,1,1.0,33.15,0.0
13735,Test,28,M,11,2,119530.99,1,1.0,3.35,0.0
13831,Control,42,F,16,3,241208.2,2,0.0,19.98,0.125
14690,Test,43,M,6,3,205881.18,1,0.0,2.0,0.5
14775,Control,28,F,15,4,150775.9,1,0.0,0.0,0.0
15050,Test,52,F,26,3,65688.56,1,1.0,5.73,0.25
15753,Test,58,M,6,2,59565.0,2,0.0,22.04,0.25
15807,Test,27,F,4,2,59259.9,1,0.0,2.6,0.25
16135,Control,64,F,14,2,173616.2,5,0.2,3.45,0.0333
16295,Test,55,F,23,2,77984.93,1,1.0,8.48,0.25
16549,Control,56,F,24,3,314799.02,3,0.3333,2.22,0.0556
16744,Control,62,F,18,2,117267.04,1,0.0,0.3,0.0
16747,Control,32,F,13,2,64652.09,1,1.0,2.6,0.0
17008,Control,56,M,25,2,27571.03,1,1.0,5.43,0.0
17160,Control,54,F,14,3,140511.63,4,0.25,1.39,0.0
17170,Test,63,M,15,2,83531.35,1,1.0,4.42,0.0
17318,Test,69,M,16,2,51120.27,1,0.0,4.5,0.25
18549,Test,43,M,22,3,55374.98,1,1.0,2.55,0.0
