visita_id,client_id,variation,primer_paso,ultimo_paso,confirm,duracion_total_seg,duracion_total_min,tasa_error_visita,edad,genero,años_cliente_vg,num_cuentas,saldo_total
100019538_17884295066_43909,7338123,Test,start,confirm,1,242.0,4.03,0.2,24,M,7,2,26436.73
100022086_87870757897_149620,2478628,Test,start,confirm,1,180.0,3.0,0.0,47,F,16,2,32456.28
100030127_47967100085_936361,105007,Control,start,start,0,0.0,0.0,0.0,35,F,9,2,34897.47
100037962_47432393712_705583,5623007,Control,start,start,0,132.0,2.2,0.3333333333333333,78,M,16,2,146827.14
10006594_66157970412_679648,3479519,Control,start,step_3,0,354.0,5.9,0.16666666666666666,52,F,12,2,349316.66
100071743_53464757454_616703,3432704,Control,start,start,0,0.0,0.0,0.0,60,M,21,2,27970.87
10007589_47780784567_391490,5477656,Control,start,confirm,1,721.0,12.02,0.0,54,M,10,2,24706.77
100096068_8301717872_987164,8306812,Control,start,step_1,0,13.0,0.22,0.0,31,M,9,2,37853.69
100105975_18174738494_196339,9852814,Control,start,start,0,13.0,0.22,0.0,71,M,10,2,53955.97
100173292_91322748906_143563,8631696,Test,start,confirm,1,95.0,1.58,0.0,46,M,11,3,134716.64
100195539_90558871716_822894,8050938,Control,start,step_1,0,363.0,6.05,0.3333333333333333,76,M,16,3,857143.38
100217156_67053490690_383412,9341024,Test,start,confirm,1,1017.0,16.95,0.125,68,F,6,2,163660.31
100221419_95702886123_228743,6002181,Test,start,start,0,0.0,0.0,0.0,48,M,17,3,746472.2100000001
10024125_38177552152_999695,3852267,Control,start,step_1,0,21.0,0.35,0.0,75,F,29,3,2508197.52
100293270_70949014562_696814,8976740,Test,start,confirm,1,209.0,3.48,0.0,32,F,16,2,46486.33
10029965_1592382589_593999,7760839,Test,start,step_1,0,67.0,1.12,0.0,64,F,11,2,36454.02
100321067_78502191718_46799,2540907,Test,start,confirm,1,134.0,2.23,0.0,66,M,21,3,167073.24
100393582_40120493420_784218,2930525,Test,start,start,0,82.0,1.37,0.3333333333333333,22,F,13,2,100560.75
100398738_80691628792_341470,2289897,Control,start,start,0,0.0,0.0,0.0,74,M,25,5,538260.91
100412222_23957663994_946900,543460,Test,start,confirm,1,466.0,7.77,0.0,48,M,10,2,49462.47
10043239_12589390657_342180,5269746,Control,start,start,0,0.0,0.0,0.0,34,M,7,2,30304.97
100471971_3065983298_584030,3673713,Control,start,confirm,1,155.0,2.58,0.0,42,F,5,2,960255.58
100481857_71511233596_788753,6235268,Control,start,confirm,1,776.0,12.93,0.16666666666666666,48,M,11,2,42969.78999999999
100559681_42553631610_873319,663873,Test,start,confirm,1,203.0,3.38,0.0,48,F,18,2,773225.76
100583476_33244068453_144866,8187622,Control,start,step_3,0,168.0,2.8,0.0,66,F,9,2,141339.76
100626049_75683476209_342098,8241291,Test,start,start,0,718.0,11.97,0.0,33,F,10,2,91149.28
100639462_26969211619_298031,4074233,Test,start,step_3,0,65.0,1.08,0.0,32,F,15,2,33885.45
100647528_93869859601_746654,1244412,Control,start,start,0,0.0,0.0,0.0,47,M,16,2,44324.7
10065836_96534697180_389104,6829143,Test,start,confirm,1,704.0,11.73,0.125,44,F,15,2,25142.15
100665997_91063490926_34691,237182,Control,start,step_3,0,88.0,1.47,0.0,23,M,4,3,69298.4
100725513_11346861413_977724,8780422,Test,start,step_1,0,8.0,0.13,0.0,70,F,4,2,159619.43
100733473_61604582110_215085,9956593,Control,start,confirm,1,335.0,5.58,0.0,62,F,15,3,26576.08
100742196_25888718318_18393,5730234,Control,start,confirm,1,144.0,2.4,0.0,62,M,15,2,46154.41
100768839_4432812320_405870,3467432,Control,start,confirm,1,447.0,7.45,0.0,72,F,8,2,60536.32
100786061_71646122803_371815,2460796,Test,start,step_1,0,39.0,0.65,0.0,66,M,29,2,281056.45
100810638_79925673386_145828,8342684,Control,start,start,0,12.0,0.2,0.0,32,F,5,2,27595.81
100823576_70799027657_592457,2684049,Test,start,step_1,0,55.0,0.92,0.0,64,M,9,2,249486.79
100847537_74227021314_737120,9957303,Control,start,step_1,0,22.0,0.37,0.0,36,M,10,2,78194.09
100888777_10698693955_921935,8133621,Control,start,start,0,0.0,0.0,0.0,57,F,10,2,39286.79
100917321_50724715049_405133,666049,Control,start,start,0,0.0,0.0,0.0,59,M,13,2,82355.4
100982387_94833499276_254813,4337769,Control,start,confirm,1,180.0,3.0,0.0,30,M,5,2,92961.9
100990512_10313858825_28429,1262277,Control,start,start,0,1183.0,19.72,0.42857142857142855,44,M,15,2,98062.83
101018131_98163417200_901367,3624120,Control,start,start,0,173.0,2.88,0.0,50,F,14,2,130918.7
101093819_66558027327_682204,158047,Test,start,start,0,127.0,2.12,0.0,56,M,18,2,68700.53
101095789_10442518934_382326,8076869,Test,start,start,0,73.0,1.22,0.0,67,M,17,2,735629.52
10111418_59591388284_939024,6762377,Test,start,confirm,1,546.0,9.1,0.14285714285714285,42,F,16,3,8045102.6
101120116_70489660261_84827,4871055,Control,start,confirm,1,433.0,7.22,0.0,48,F,15,3,107684.59
101127163_76213781950_64100,5102064,Control,start,confirm,1,262.0,4.37,0.16666666666666666,56,M,10,2,478497.2
101131769_71477003769_557617,6664663,Test,start,start,0,275.0,4.58,0.5,59,F,30,2,1562801.0599999998
101140098_34485335341_198445,2619274,Control,start,step_1,0,81.0,1.35,0.0,45,M,10,2,43195.45
101143883_71782939078_772553,3351016,Control,start,confirm,1,162.0,2.7,0.125,41,F,14,3,681328.53
101228955_33584697901_374290,3055315,Control,start,start,0,348.0,5.8,0.16666666666666666,34,F,5,2,66560.69
101299207_34352941387_283858,5189898,Control,start,confirm,1,136.0,2.27,0.0,20,M,16,2,49238.78
10132415_28171840649_223256,2086680,Control,start,confirm,1,271.0,4.52,0.0,64,M,11,2,591480.41
101339145_59030942252_195139,9506863,Test,start,start,0,169.0,2.82,0.3333333333333333,74,F,12,2,496035.97
101420660_70864320063_268486,4167905,Control,start,confirm,1,172.0,2.87,0.0,52,F,14,2,39263.59
101430298_69072505500_555518,8902430,Test,start,confirm,1,281.0,4.68,0.16666666666666666,46,M,14,2,52059.74
